time (days since 1610-01-01),wavelength (nm),irradiance (W/m^2/nm)
151757.0,299.5,0.5568482875823975
151757.0,300.5,0.3664087653160095
151757.0,301.5,0.4894103407859802
151757.0,302.5,0.48533257842063904
151757.0,303.5,0.6250435709953308
151757.0,304.5,0.5937004089355469
151757.0,305.5,0.6172938942909241
151757.0,306.5,0.5703303813934326
151757.0,307.5,0.6511968970298767
151757.0,308.5,0.6612074375152588
151757.0,309.5,0.506496787071228
151757.0,310.5,0.6337063312530518
151757.0,311.5,0.7613122463226318
151757.0,312.5,0.6555719375610352
151757.0,313.5,0.7262037992477417
151757.0,314.5,0.6562268733978271
151757.0,315.5,0.6649708151817322
151757.0,316.5,0.6120110750198364
151757.0,317.5,0.862182080745697
151757.0,318.5,0.616038978099823
151757.0,319.5,0.7246432900428772
151757.0,320.5,0.8543073534965515
151757.0,321.5,0.666323721408844
151757.0,322.5,0.695401132106781
151757.0,323.5,0.6619152426719666
151757.0,324.5,0.7819935083389282
151757.0,325.5,0.8853967189788818
151757.0,326.5,1.0207340717315674
151757.0,327.5,0.9581700563430786
151757.0,328.5,0.8814700245857239
151757.0,329.5,1.111138105392456
151757.0,330.5,1.0171277523040771
151757.0,331.5,1.0060230493545532
151757.0,332.5,0.9601519107818604
151757.0,333.5,0.9064673185348511
151757.0,334.5,1.0032697916030884
151757.0,335.5,1.0047357082366943
151757.0,336.5,0.7824118733406067
151757.0,337.5,0.8688035607337952
151757.0,338.5,0.9038195013999939
151757.0,339.5,0.9784933924674988
151757.0,340.5,1.044569730758667
151757.0,341.5,0.9174615740776062
151757.0,342.5,1.011635422706604
151757.0,343.5,1.051537036895752
151757.0,344.5,0.7318863868713379
151757.0,345.5,0.9940130114555359
151757.0,346.5,0.9279977083206177
151757.0,347.5,0.9009259939193726
151757.0,348.5,0.9843379259109497
151757.0,349.5,0.8194229602813721
151757.0,350.5,1.1521601676940918
151757.0,351.5,0.9895784258842468
151757.0,352.5,0.8895248174667358
151757.0,353.5,1.0683581829071045
151757.0,354.5,1.1568069458007812
151757.0,355.5,1.0758334398269653
151757.0,356.5,0.9953038096427917
151757.0,357.5,0.8432337641716003
151757.0,358.5,0.647047221660614
151757.0,359.5,1.0945695638656616
151757.0,360.5,1.0153884887695312
151757.0,361.5,0.9183781743049622
151757.0,362.5,1.083952784538269
151757.0,363.5,0.9665017127990723
151757.0,364.5,1.0466139316558838
151757.0,365.5,1.2123008966445923
151757.0,366.5,1.2863131761550903
151757.0,367.5,1.2218631505966187
151757.0,368.5,1.0752804279327393
151757.0,369.5,1.286656379699707
151757.0,370.5,1.1676013469696045
151757.0,371.5,1.3312031030654907
151757.0,372.5,0.9776738882064819
151757.0,373.5,0.887416660785675
151757.0,374.5,0.9696299433708191
151757.0,375.5,1.0907262563705444
151757.0,376.5,1.0857237577438354
151757.0,377.5,1.2913455963134766
151757.0,378.5,1.4138855934143066
151757.0,379.5,1.046309471130371
151757.0,380.5,1.2584182024002075
151757.0,381.5,1.1805572509765625
151757.0,382.5,0.7873673439025879
151757.0,383.5,0.688707709312439
151757.0,384.5,1.036968469619751
151757.0,385.5,1.0220962762832642
151757.0,386.5,1.0464081764221191
151757.0,387.5,0.9709154963493347
151757.0,388.5,0.9826093912124634
151757.0,389.5,1.2390930652618408
151757.0,390.5,1.2046771049499512
151757.0,391.5,1.4281328916549683
151757.0,392.5,1.0635814666748047
151757.0,393.5,0.4618513286113739
151757.0,394.5,1.0742554664611816
151757.0,395.5,1.377731204032898
151757.0,396.5,0.8068350553512573
151757.0,397.5,0.9191344380378723
151757.0,398.5,1.5765210390090942
151757.0,399.5,1.616626501083374
151757.0,400.5,1.705005407333374
151757.0,401.5,1.752585530281067
151757.0,402.5,1.8247430324554443
151757.0,403.5,1.679054617881775
151757.0,404.5,1.648302435874939
151757.0,405.5,1.725087285041809
151757.0,406.5,1.621925950050354
151757.0,407.5,1.6357144117355347
151757.0,408.5,1.8278937339782715
151757.0,409.5,1.7962530851364136
151757.0,410.5,1.5586551427841187
151757.0,411.5,1.8574050664901733
151757.0,412.5,1.8396631479263306
151757.0,413.5,1.7796835899353027
151757.0,414.5,1.818280816078186
151757.0,415.5,1.732640027999878
151757.0,416.5,1.884238839149475
151757.0,417.5,1.7154934406280518
151757.0,418.5,1.712083101272583
151757.0,419.5,1.7693551778793335
151757.0,420.5,1.7720533609390259
151757.0,421.5,1.8409109115600586
151757.0,422.5,1.636962652206421
151757.0,423.5,1.7818635702133179
151757.0,424.5,1.7767539024353027
151757.0,425.5,1.7216142416000366
151757.0,426.5,1.7372688055038452
151757.0,427.5,1.5950852632522583
151757.0,428.5,1.6764793395996094
151757.0,429.5,1.537459135055542
151757.0,430.5,1.1289916038513184
151757.0,431.5,1.569559097290039
151757.0,432.5,1.6860181093215942
151757.0,433.5,1.8430026769638062
151757.0,434.5,1.5903180837631226
151757.0,435.5,1.7989799976348877
151757.0,436.5,1.9334667921066284
151757.0,437.5,1.8203765153884888
151757.0,438.5,1.6160976886749268
151757.0,439.5,1.8289443254470825
151757.0,440.5,1.7278507947921753
151757.0,441.5,1.9385944604873657
151757.0,442.5,2.0161654949188232
151757.0,443.5,1.9457837343215942
151757.0,444.5,2.011009931564331
151757.0,445.5,1.9054360389709473
151757.0,446.5,1.896923303604126
151757.0,447.5,2.0796616077423096
151757.0,448.5,2.019832134246826
151757.0,449.5,2.011826515197754
151757.0,450.5,2.156721353530884
151757.0,451.5,2.123884916305542
151757.0,452.5,2.031424045562744
151757.0,453.5,1.963018536567688
151757.0,454.5,2.07785964012146
151757.0,455.5,1.9860336780548096
151757.0,456.5,2.135315418243408
