datetime,X
2015-03-17 00:00:00+00:00,20565.3
2015-03-17 00:01:00+00:00,20565.8
2015-03-17 00:02:00+00:00,20566.3
2015-03-17 00:03:00+00:00,20566.4
2015-03-17 00:04:00+00:00,20566.1
2015-03-17 00:05:00+00:00,20565.8
2015-03-17 00:06:00+00:00,20565.6
2015-03-17 00:07:00+00:00,20565.8
2015-03-17 00:08:00+00:00,20565.8
2015-03-17 00:09:00+00:00,20567.1
2015-03-17 00:10:00+00:00,20568.6
2015-03-17 00:11:00+00:00,20569.5
2015-03-17 00:12:00+00:00,20570.0
2015-03-17 00:13:00+00:00,20569.7
2015-03-17 00:14:00+00:00,20569.5
2015-03-17 00:15:00+00:00,20570.3
2015-03-17 00:16:00+00:00,20570.1
2015-03-17 00:17:00+00:00,20568.4
2015-03-17 00:18:00+00:00,20567.9
2015-03-17 00:19:00+00:00,20568.1
2015-03-17 00:20:00+00:00,20568.0
2015-03-17 00:21:00+00:00,20566.9
2015-03-17 00:22:00+00:00,20567.3
2015-03-17 00:23:00+00:00,20566.9
2015-03-17 00:24:00+00:00,20567.3
2015-03-17 00:25:00+00:00,20567.6
2015-03-17 00:26:00+00:00,20567.5
2015-03-17 00:27:00+00:00,20567.4
2015-03-17 00:28:00+00:00,20567.4
2015-03-17 00:29:00+00:00,20567.4
2015-03-17 00:30:00+00:00,20567.7
2015-03-17 00:31:00+00:00,20568.2
2015-03-17 00:32:00+00:00,20568.3
2015-03-17 00:33:00+00:00,20568.3
2015-03-17 00:34:00+00:00,20567.7
2015-03-17 00:35:00+00:00,20566.7
2015-03-17 00:36:00+00:00,20565.6
2015-03-17 00:37:00+00:00,20565.2
2015-03-17 00:38:00+00:00,20564.9
2015-03-17 00:39:00+00:00,20564.6
2015-03-17 00:40:00+00:00,20564.2
2015-03-17 00:41:00+00:00,20563.6
2015-03-17 00:42:00+00:00,20563.3
2015-03-17 00:43:00+00:00,20563.0
2015-03-17 00:44:00+00:00,20563.2
2015-03-17 00:45:00+00:00,20563.3
2015-03-17 00:46:00+00:00,20563.1
2015-03-17 00:47:00+00:00,20563.1
2015-03-17 00:48:00+00:00,20563.2
2015-03-17 00:49:00+00:00,20563.3
2015-03-17 00:50:00+00:00,20563.6
2015-03-17 00:51:00+00:00,20563.6
2015-03-17 00:52:00+00:00,20563.8
2015-03-17 00:53:00+00:00,20564.0
2015-03-17 00:54:00+00:00,20563.8
2015-03-17 00:55:00+00:00,20564.1
2015-03-17 00:56:00+00:00,20564.7
2015-03-17 00:57:00+00:00,20565.0
2015-03-17 00:58:00+00:00,20565.4
2015-03-17 00:59:00+00:00,20565.2
2015-03-17 01:00:00+00:00,20565.2
2015-03-17 01:01:00+00:00,20565.6
2015-03-17 01:02:00+00:00,20565.8
2015-03-17 01:03:00+00:00,20566.1
2015-03-17 01:04:00+00:00,20566.1
2015-03-17 01:05:00+00:00,20566.2
2015-03-17 01:06:00+00:00,20566.4
2015-03-17 01:07:00+00:00,20566.3
2015-03-17 01:08:00+00:00,20566.7
2015-03-17 01:09:00+00:00,20566.9
2015-03-17 01:10:00+00:00,20567.2
2015-03-17 01:11:00+00:00,20567.7
2015-03-17 01:12:00+00:00,20568.1
2015-03-17 01:13:00+00:00,20568.4
2015-03-17 01:14:00+00:00,20568.4
2015-03-17 01:15:00+00:00,20568.7
2015-03-17 01:16:00+00:00,20568.5
2015-03-17 01:17:00+00:00,20568.5
2015-03-17 01:18:00+00:00,20568.4
2015-03-17 01:19:00+00:00,20568.1
2015-03-17 01:20:00+00:00,20567.8
2015-03-17 01:21:00+00:00,20567.3
2015-03-17 01:22:00+00:00,20567.1
2015-03-17 01:23:00+00:00,20567.1
2015-03-17 01:24:00+00:00,20567.0
2015-03-17 01:25:00+00:00,20566.9
2015-03-17 01:26:00+00:00,20566.7
2015-03-17 01:27:00+00:00,20566.7
2015-03-17 01:28:00+00:00,20566.4
2015-03-17 01:29:00+00:00,20566.6
2015-03-17 01:30:00+00:00,20566.5
2015-03-17 01:31:00+00:00,20566.0
2015-03-17 01:32:00+00:00,20565.9
2015-03-17 01:33:00+00:00,20565.8
2015-03-17 01:34:00+00:00,20565.7
2015-03-17 01:35:00+00:00,20565.7
2015-03-17 01:36:00+00:00,20565.7
2015-03-17 01:37:00+00:00,20565.8
2015-03-17 01:38:00+00:00,20565.8
2015-03-17 01:39:00+00:00,20566.0
2015-03-17 01:40:00+00:00,20566.1
2015-03-17 01:41:00+00:00,20566.2
2015-03-17 01:42:00+00:00,20566.2
2015-03-17 01:43:00+00:00,20566.0
2015-03-17 01:44:00+00:00,20566.1
2015-03-17 01:45:00+00:00,20566.1
2015-03-17 01:46:00+00:00,20565.9
2015-03-17 01:47:00+00:00,20566.3
2015-03-17 01:48:00+00:00,20566.1
2015-03-17 01:49:00+00:00,20565.3
2015-03-17 01:50:00+00:00,20565.9
2015-03-17 01:51:00+00:00,20566.7
2015-03-17 01:52:00+00:00,20566.9
2015-03-17 01:53:00+00:00,20567.3
2015-03-17 01:54:00+00:00,20567.6
2015-03-17 01:55:00+00:00,20568.4
2015-03-17 01:56:00+00:00,20569.9
2015-03-17 01:57:00+00:00,20571.8
2015-03-17 01:58:00+00:00,20573.0
2015-03-17 01:59:00+00:00,20570.7
2015-03-17 02:00:00+00:00,20568.0
2015-03-17 02:01:00+00:00,20566.0
2015-03-17 02:02:00+00:00,20564.7
2015-03-17 02:03:00+00:00,20564.8
2015-03-17 02:04:00+00:00,20565.3
2015-03-17 02:05:00+00:00,20565.7
2015-03-17 02:06:00+00:00,20565.7
2015-03-17 02:07:00+00:00,20565.4
2015-03-17 02:08:00+00:00,20565.3
2015-03-17 02:09:00+00:00,20565.5
2015-03-17 02:10:00+00:00,20566.0
2015-03-17 02:11:00+00:00,20566.6
2015-03-17 02:12:00+00:00,20566.0
2015-03-17 02:13:00+00:00,20566.1
2015-03-17 02:14:00+00:00,20566.1
2015-03-17 02:15:00+00:00,20566.4
2015-03-17 02:16:00+00:00,20567.2
2015-03-17 02:17:00+00:00,20568.3
2015-03-17 02:18:00+00:00,20569.3
2015-03-17 02:19:00+00:00,20570.4
2015-03-17 02:20:00+00:00,20572.1
2015-03-17 02:21:00+00:00,20573.0
2015-03-17 02:22:00+00:00,20573.3
2015-03-17 02:23:00+00:00,20572.9
2015-03-17 02:24:00+00:00,20571.8
2015-03-17 02:25:00+00:00,20571.1
2015-03-17 02:26:00+00:00,20571.2
2015-03-17 02:27:00+00:00,20571.7
2015-03-17 02:28:00+00:00,20572.5
2015-03-17 02:29:00+00:00,20573.7
2015-03-17 02:30:00+00:00,20573.7
2015-03-17 02:31:00+00:00,20572.5
2015-03-17 02:32:00+00:00,20570.9
